,Item Code,Field,Field Value,MRP_element,overdue,total,Y22W52,Y23W01,Y23W02,Y23W03,Y23W04,Y23W05
0,GRB-003,Item Code,GRB-003,Gross Req,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
1,GRB-003,Description,20GR Gravel Bike - Small,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,GRB-003,Current stock,7.0,planned_receipt,0.0,144.0,0.0,94.0,50.0,0.0,0.0,0.0
3,GRB-003,Lead Time,3,planned_release,0.0,144.0,0.0,144.0,0.0,0.0,0.0,0.0
4,GRB-003,Safety Stock,100,Balance,7.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0
5,GRB-003,Order Policy,FOQ,Balance (+SR),7.0,5.0,7.0,6.0,5.0,5.0,5.0,5.0
6,GRB-003,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),7.0,149.0,7.0,100.0,149.0,149.0,149.0,149.0
7,GRB-003,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),7.0,99.0,7.0,100.0,99.0,99.0,99.0,99.0
8,XCB-107,Item Code,XCB-107,Gross Req,0.0,195.0,0.0,106.0,42.0,1.0,46.0,0.0
9,XCB-107,Description,110mm XC Mountain Bike - Large,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,XCB-107,Current stock,10.0,planned_receipt,0.0,295.0,0.0,245.0,0.0,0.0,50.0,0.0
11,XCB-107,Lead Time,3,planned_release,0.0,295.0,195.0,50.0,0.0,50.0,0.0,0.0
12,XCB-107,Safety Stock,100,Balance,10.0,-185.0,10.0,-96.0,-138.0,-139.0,-185.0,-185.0
13,XCB-107,Order Policy,FOQ,Balance (+SR),10.0,-185.0,10.0,-96.0,-138.0,-139.0,-185.0,-185.0
14,XCB-107,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),10.0,110.0,10.0,149.0,107.0,106.0,110.0,110.0
15,XCB-107,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),10.0,10.0,10.0,99.0,57.0,56.0,10.0,10.0
16,TAIDUC-002,Item Code,TAIDUC-002,Gross Req,2896.0,4104.0,129.0,723.0,1045.0,1158.0,846.0,203.0
17,TAIDUC-002,Description,"Trading RM, Pokemon Fish 002",Scheduled Rcpt,0.0,220.0,0.0,120.0,0.0,100.0,0.0,0.0
18,TAIDUC-002,Current stock,392.0,planned_receipt,3240.0,4420.0,0.0,620.0,1140.0,920.0,940.0,800.0
19,TAIDUC-002,Lead Time,21,planned_release,5920.0,4700.0,0.0,940.0,800.0,620.0,1300.0,1040.0
20,TAIDUC-002,Safety Stock,500,Balance,-2504.0,-6608.0,-2633.0,-3356.0,-4401.0,-5559.0,-6405.0,-6608.0
21,TAIDUC-002,Order Policy,WEEKLY_CALENDAR,Balance (+SR),-2504.0,-6388.0,-2633.0,-3236.0,-4281.0,-5339.0,-6185.0,-6388.0
22,TAIDUC-002,Rounding Value / MOQ,[20/ 60],Balance(+SR+PR),736.0,1272.0,607.0,624.0,719.0,581.0,675.0,1272.0
23,TAIDUC-002,Cover Days / Week Day / Max Level,[nan/ Tuesday/ nan],Balance(+SR+1st PR),-2384.0,-6268.0,-2513.0,-3116.0,-4161.0,-5219.0,-6065.0,-6268.0
24,ENB-705,Item Code,ENB-705,Gross Req,0.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0
25,ENB-705,Description,170mm Enduro Mountain Bike - Medium,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,ENB-705,Current stock,33.0,planned_receipt,0.0,120.0,0.0,70.0,50.0,0.0,0.0,0.0
27,ENB-705,Lead Time,3,planned_release,0.0,120.0,0.0,70.0,50.0,0.0,0.0,0.0
28,ENB-705,Safety Stock,100,Balance,33.0,27.0,33.0,30.0,27.0,27.0,27.0,27.0
29,ENB-705,Order Policy,FOQ,Balance (+SR),33.0,27.0,33.0,30.0,27.0,27.0,27.0,27.0
30,ENB-705,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),33.0,147.0,33.0,100.0,147.0,147.0,147.0,147.0
31,ENB-705,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),33.0,97.0,33.0,100.0,97.0,97.0,97.0,97.0
32,ENB-703,Item Code,ENB-703,Gross Req,0.0,116.0,0.0,60.0,56.0,0.0,0.0,0.0
33,ENB-703,Description,170mm Enduro Mountain Bike - Small,Scheduled Rcpt,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0
34,ENB-703,Current stock,10.0,planned_receipt,0.0,205.0,50.0,105.0,50.0,0.0,0.0,0.0
35,ENB-703,Lead Time,3,planned_release,50.0,155.0,0.0,105.0,50.0,0.0,0.0,0.0
36,ENB-703,Safety Stock,100,Balance,10.0,-106.0,10.0,-50.0,-106.0,-106.0,-106.0,-106.0
37,ENB-703,Order Policy,FOQ,Balance (+SR),10.0,-62.0,54.0,-6.0,-62.0,-62.0,-62.0,-62.0
38,ENB-703,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),10.0,143.0,104.0,149.0,143.0,143.0,143.0,143.0
39,ENB-703,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),10.0,-12.0,104.0,44.0,-12.0,-12.0,-12.0,-12.0
40,ENB-707,Item Code,ENB-707,Gross Req,0.0,56.0,0.0,3.0,53.0,0.0,0.0,0.0
41,ENB-707,Description,170mm Enduro Mountain Bike - Large,Scheduled Rcpt,0.0,84.0,36.0,48.0,0.0,0.0,0.0,0.0
42,ENB-707,Current stock,27.0,planned_receipt,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
43,ENB-707,Lead Time,3,planned_release,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,ENB-707,Safety Stock,100,Balance,27.0,-29.0,27.0,24.0,-29.0,-29.0,-29.0,-29.0
45,ENB-707,Order Policy,FOQ,Balance (+SR),27.0,55.0,63.0,108.0,55.0,55.0,55.0,55.0
46,ENB-707,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),27.0,105.0,113.0,158.0,105.0,105.0,105.0,105.0
47,ENB-707,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),27.0,105.0,113.0,158.0,105.0,105.0,105.0,105.0
48,TAIDUC-001,Item Code,TAIDUC-001,Gross Req,0.0,126729.0,888.0,50487.0,42854.0,32500.0,0.0,0.0
49,TAIDUC-001,Description,"Trading RM, Pokemon Fish 001",Scheduled Rcpt,0.0,50000.0,5000.0,35000.0,10000.0,0.0,0.0,0.0
50,TAIDUC-001,Current stock,0.0,planned_receipt,0.0,80000.0,0.0,35000.0,45000.0,0.0,0.0,0.0
