,item_code,req_date,gross_req_qty,source,source_item,urgency_status,demand_type
0,TRB-403,2023-01-02,2.0,Sales_Order,,,Independent
1,CCS-170,2023-01-03,2.0,Sales_Order,,,Independent
2,TRB-407,2023-01-03,2.0,Sales_Order,,,Independent
3,WLS-127,2023-01-03,3.0,Sales_Order,,,Independent
4,WLS-427,2023-01-03,4.0,Sales_Order,,,Independent
5,TRB-405,2023-01-04,3.0,Sales_Order,,,Independent
6,WLS-429,2023-01-04,3.0,Sales_Order,,,Independent
7,GRB-005,2023-01-06,1.0,Sales_Order,,,Independent
8,GRB-007,2023-01-06,1.0,Sales_Order,,,Independent
9,XCB-103,2023-01-06,2.0,Sales_Order,,,Independent
10,XCB-105,2023-01-06,2.0,Sales_Order,,,Independent
11,WLS-723,2023-01-06,3.0,Sales_Order,,,Independent
12,XCB-107,2023-01-06,1.0,Sales_Order,,,Independent
13,GRB-003,2023-01-06,1.0,Sales_Order,,,Independent
14,TRB-403,2023-01-09,1.0,Sales_Order,,,Independent
15,WLS-427,2023-01-09,2.0,Sales_Order,,,Independent
16,GRB-005,2023-01-10,1.0,Sales_Order,,,Independent
17,TRB-405,2023-01-10,2.0,Sales_Order,,,Independent
18,ENB-707,2023-01-04,3.0,Sales_Order,,,Independent
19,GRB-003,2023-01-11,1.0,Sales_Order,,,Independent
20,HBM-750,2023-01-04,4.0,Sales_Order,,,Independent
21,XCB-103,2023-01-11,2.0,Sales_Order,,,Independent
22,ENB-705,2023-01-05,3.0,Sales_Order,,,Independent
23,ENF-705,2023-01-05,1.0,Sales_Order,,,Independent
24,HBM-800,2023-01-05,5.0,Sales_Order,,,Independent
25,CCS-170,2023-01-12,2.0,Sales_Order,,,Independent
26,ENF-707,2023-01-05,3.0,Sales_Order,,,Independent
27,XCB-105,2023-01-12,1.0,Sales_Order,,,Independent
28,TRB-407,2023-01-13,1.0,Sales_Order,,,Independent
29,WLS-429,2023-01-13,3.0,Sales_Order,,,Independent
30,WLS-723,2023-01-13,2.0,Sales_Order,,,Independent
31,ENB-703,2023-01-06,1.0,Sales_Order,,,Independent
32,WLS-127,2023-01-13,3.0,Sales_Order,,,Independent
33,XCB-107,2023-01-13,1.0,Sales_Order,,,Independent
34,HBM-750,2023-01-09,3.0,Sales_Order,,,Independent
35,TRB-403,2023-01-16,1.0,Sales_Order,,,Independent
36,CCS-170,2023-01-17,2.0,Sales_Order,,,Independent
37,ENB-703,2023-01-10,1.0,Sales_Order,,,Independent
38,HBM-800,2023-01-10,5.0,Sales_Order,,,Independent
39,TRB-405,2023-01-17,2.0,Sales_Order,,,Independent
40,XCB-103,2023-01-17,1.0,Sales_Order,,,Independent
