,Item Code,Field,Field Value,MRP_element,overdue,total,Y22W52,Y23W01,Y23W02,Y23W03,Y23W04,Y23W05
0,TAIDUC-002,Item Code,TAIDUC-002,Gross Req,2896.0,4104.0,129.0,723.0,1045.0,1158.0,846.0,203.0
1,TAIDUC-002,Description,"Trading RM, Pokemon Fish 002",Scheduled Rcpt,0.0,220.0,0.0,120.0,0.0,100.0,0.0,0.0
2,TAIDUC-002,Current stock,392.0,planned_receipt,3240.0,4420.0,0.0,620.0,1140.0,920.0,940.0,800.0
3,TAIDUC-002,Lead Time,21,planned_release,5920.0,4700.0,0.0,940.0,800.0,620.0,1300.0,1040.0
4,TAIDUC-002,Safety Stock,500,Balance,-2504.0,-6608.0,-2633.0,-3356.0,-4401.0,-5559.0,-6405.0,-6608.0
5,TAIDUC-002,Order Policy,WEEKLY_CALENDAR,Balance (+SR),-2504.0,-6388.0,-2633.0,-3236.0,-4281.0,-5339.0,-6185.0,-6388.0
6,TAIDUC-002,Rounding Value / MOQ,[20/ 60],Balance(+SR+PR),736.0,1272.0,607.0,624.0,719.0,581.0,675.0,1272.0
7,TAIDUC-002,Cover Days / Week Day / Max Level,[nan/ Tuesday/ nan],Balance(+SR+1st PR),-2384.0,-6268.0,-2513.0,-3116.0,-4161.0,-5219.0,-6065.0,-6268.0
8,XCB-103,Item Code,XCB-103,Gross Req,0.0,411.0,0.0,104.0,101.0,109.0,97.0,0.0
9,XCB-103,Description,110mm XC Mountain Bike - Small,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,XCB-103,Current stock,17.0,planned_receipt,0.0,503.0,0.0,187.0,103.0,109.0,104.0,0.0
11,XCB-103,Lead Time,3,planned_release,129.0,374.0,0.0,161.0,0.0,109.0,104.0,0.0
12,XCB-103,Safety Stock,100,Balance,17.0,-394.0,17.0,-87.0,-188.0,-297.0,-394.0,-394.0
13,XCB-103,Order Policy,FOQ,Balance (+SR),17.0,-394.0,17.0,-87.0,-188.0,-297.0,-394.0,-394.0
14,XCB-103,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),17.0,109.0,17.0,100.0,102.0,102.0,109.0,109.0
15,XCB-103,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),17.0,-265.0,17.0,42.0,-59.0,-168.0,-265.0,-265.0
16,ENB-703,Item Code,ENB-703,Gross Req,0.0,116.0,0.0,60.0,56.0,0.0,0.0,0.0
17,ENB-703,Description,170mm Enduro Mountain Bike - Small,Scheduled Rcpt,0.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0
18,ENB-703,Current stock,10.0,planned_receipt,0.0,205.0,50.0,105.0,50.0,0.0,0.0,0.0
19,ENB-703,Lead Time,3,planned_release,50.0,155.0,0.0,105.0,50.0,0.0,0.0,0.0
20,ENB-703,Safety Stock,100,Balance,10.0,-106.0,10.0,-50.0,-106.0,-106.0,-106.0,-106.0
21,ENB-703,Order Policy,FOQ,Balance (+SR),10.0,-62.0,54.0,-6.0,-62.0,-62.0,-62.0,-62.0
22,ENB-703,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),10.0,143.0,104.0,149.0,143.0,143.0,143.0,143.0
23,ENB-703,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),10.0,-12.0,104.0,44.0,-12.0,-12.0,-12.0,-12.0
24,GRB-007,Item Code,GRB-007,Gross Req,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
25,GRB-007,Description,20GR Gravel Bike - Large,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,GRB-007,Current stock,9.0,planned_receipt,0.0,142.0,0.0,92.0,0.0,50.0,0.0,0.0
27,GRB-007,Lead Time,3,planned_release,0.0,142.0,0.0,92.0,0.0,50.0,0.0,0.0
28,GRB-007,Safety Stock,100,Balance,9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0
29,GRB-007,Order Policy,FOQ,Balance (+SR),9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0
30,GRB-007,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),9.0,149.0,9.0,100.0,100.0,149.0,149.0,149.0
31,GRB-007,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),9.0,99.0,9.0,100.0,100.0,99.0,99.0,99.0
32,ENB-707,Item Code,ENB-707,Gross Req,0.0,56.0,0.0,3.0,53.0,0.0,0.0,0.0
33,ENB-707,Description,170mm Enduro Mountain Bike - Large,Scheduled Rcpt,0.0,84.0,36.0,48.0,0.0,0.0,0.0,0.0
34,ENB-707,Current stock,27.0,planned_receipt,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
35,ENB-707,Lead Time,3,planned_release,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ENB-707,Safety Stock,100,Balance,27.0,-29.0,27.0,24.0,-29.0,-29.0,-29.0,-29.0
37,ENB-707,Order Policy,FOQ,Balance (+SR),27.0,55.0,63.0,108.0,55.0,55.0,55.0,55.0
38,ENB-707,Rounding Value / MOQ,[1/ 50],Balance(+SR+PR),27.0,105.0,113.0,158.0,105.0,105.0,105.0,105.0
39,ENB-707,Cover Days / Week Day / Max Level,[nan/ nan/ nan],Balance(+SR+1st PR),27.0,105.0,113.0,158.0,105.0,105.0,105.0,105.0
40,TRB-407,Item Code,TRB-407,Gross Req,0.0,285.0,0.0,2.0,145.0,53.0,36.0,49.0
41,TRB-407,Description,140mm Trail Mountain Bike - Large,Scheduled Rcpt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,TRB-407,Current stock,14.0,planned_receipt,0.0,393.0,0.0,88.0,155.0,50.0,50.0,50.0
